nymphtest,SIT,2,Right,6,[0.98218785 0.96114455 0.93459885 0.96331429 0.93803702 0.96913825],0.9580701358907294,775.3414921760559,155.06829843521118
nymph,SIT,1,Right,6,[0.9849379  0.97755412 0.97276896 0.95079059 0.96706566 0.98251022],0.9726045741757896,738.5550887584686,147.71101775169373
,,,,6,[0. 0. 0. 0. 0. 0.],0.0,2.3934519290924072,0.47869038581848145
PJay,SIT,5,Right,6,[0.98582615 0.98378759 0.98906131 0.98538721 0.98411573 0.98409766],0.9853792761638326,974.8532426357269,194.97064852714539
mouse,,0,Right,6,[0. 0. 0. 0. 0. 0.],0.0,9.638020992279053,1.9276041984558105
,,,,6,[0.11985281 0.96199913 0.94035587 0.95379527 0.95744066 0.93355492],0.8111664427249726,755.0722279548645,151.0144455909729
test,,0,Right,6,[0.97323647 0.9662085  0.95532536 0.96253805 0.94583796 0.95069657],0.9589738176279797,577.5947523117065,115.51895046234131
nymph,,,,6,[0.96826072 0.96759471 0.97614541 0.95378564 0.95447169 0.79218638],0.9354074265031525,2330.1924226284027,466.03848452568053
nymph,,,,6,[0.97610205 0.97151671 0.94839338 0.95713389 0.97283962 0.93166986],0.9596092509061777,1511.731653213501,302.3463306427002
PJay,,,,6,[0.94528385 0.97157644 0.92236095 0.9545551  0.94623916 0.92909926],0.9448524593386235,616.0977942943573,123.21955885887147
nymph,test,0,Right,6,[0.97865854 0.98367451 0.98033564 0.96644295 0.96784734 0.9720302 ],0.9748315278382013,1070.2166225910187,214.04332451820375
,,,,6,[0.98846649 0.97748966 0.98769656 0.98673398 0.9769638  0.98111571],0.9830776990807105,1061.0464942455292,212.20929884910583
nrig,,0,Right,6,[0.98647753 0.97892122 0.98098312 0.97981642 0.96891378 0.97324281],0.9780591446648198,812.0543112754822,162.41086225509645
